Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,3,0,11176.935,3947,3947,6980,3947,03/15/2024 13:04:24,03/15/2024 10:00:00,3322.0375,-1750.0,3392.983,1918.722,11790.188,7152.762,2,0,0,0,0,0,45.0,0,25.06,27.58,,,,
201,1,LAB01,001,1,,3,0,11289.709,4060,4060,6980,4060,03/15/2024 13:06:16,03/15/2024 10:00:00,3299.0322,-1750.0,3392.983,1973.543,11790.188,7333.617,2,0,0,0,0,0,45.0,0,24.89,27.49,,,,
201,1,LAB01,001,1,,3,0,11402.483,4173,4173,6980,4173,03/15/2024 13:08:09,03/15/2024 10:00:00,3272.1473,-1750.0,3392.983,2028.363,11790.188,7512.998,2,0,0,0,0,0,45.0,0,25.02,27.48,,,,
201,1,LAB01,001,1,,3,0,11515.257,4285,4285,6980,4285,03/15/2024 13:10:02,03/15/2024 10:00:00,3250.1102,-1750.0,3392.983,2083.184,11790.188,7691.171,2,0,0,0,0,0,45.0,0,25.10,27.52,,,,
201,1,LAB01,001,1,,3,0,11628.031,4398,4398,6980,4398,03/15/2024 13:11:55,03/15/2024 10:00:00,3223.9481,-1750.0,3392.983,2138.004,11790.188,7867.910,2,0,0,0,0,0,45.0,0,24.96,27.15,,,,
201,1,LAB01,001,1,,3,0,11740.805,4511,4511,6980,4511,03/15/2024 13:13:48,03/15/2024 10:00:00,3201.3896,-1750.0,3392.983,2192.825,11790.188,8043.413,2,0,0,0,0,0,45.0,0,24.91,27.37,,,,
201,1,LAB01,001,1,,3,0,11853.579,4624,4624,6980,4624,03/15/2024 13:15:40,03/15/2024 10:00:00,3175.1333,-1750.0,3392.983,2247.646,11790.188,8217.475,30,0,0,0,0,0,45.0,0,25.02,27.11,,,,
201,1,LAB01,001,1,,3,0,11966.352,4737,4737,6980,4737,03/15/2024 13:17:33,03/15/2024 10:00:00,3150.6556,-1750.0,3392.983,2302.466,11790.188,8390.196,2,0,0,0,0,0,45.0,0,24.91,27.20,,,,
201,1,LAB01,001,1,,3,0,12079.126,4849,4849,6980,4849,03/15/2024 13:19:26,03/15/2024 10:00:00,3125.4324,-1750.0,3392.983,2357.287,11790.188,8561.534,2,0,0,0,0,0,45.0,0,25.12,26.88,,,,
201,1,LAB01,001,1,,3,0,12191.900,4962,4962,6980,4962,03/15/2024 13:21:19,03/15/2024 10:00:00,3101.1708,-1750.0,3392.983,2412.108,11790.188,8731.543,2,0,0,0,0,0,45.0,0,25.17,27.29,,,,
201,1,LAB01,001,1,,3,0,12304.674,5075,5075,6980,5075,03/15/2024 13:23:11,03/15/2024 10:00:00,3077.5759,-1750.0,3392.983,2466.928,11790.188,8900.257,2,0,0,0,0,0,45.0,0,25.04,26.75,,,,
201,1,LAB01,001,1,,3,0,12417.448,5188,5188,6980,5188,03/15/2024 13:25:04,03/15/2024 10:00:00,3052.1125,-1750.0,3392.983,2521.749,11790.188,9067.576,2,0,0,0,0,0,45.0,0,24.90,26.50,,,,
201,1,LAB01,001,1,,3,0,12530.222,5300,5300,6980,5300,03/15/2024 13:26:57,03/15/2024 10:00:00,3028.2439,-1750.0,3392.983,2576.570,11790.188,9233.586,2,0,0,0,0,0,45.0,0,25.00,26.63,,,,
201,1,LAB01,001,1,,3,0,12642.996,5413,5413,6980,5413,03/15/2024 13:28:50,03/15/2024 10:00:00,3002.2628,-1750.0,3392.983,2631.390,11790.188,9398.172,2,0,0,0,0,0,45.0,0,25.08,26.83,,,,
201,1,LAB01,001,1,,3,0,12755.769,5526,5526,6980,5526,03/15/2024 13:30:42,03/15/2024 10:00:00,2975.5078,-1750.0,3392.983,2686.211,11790.188,9561.291,2,0,0,0,0,0,45.0,0,24.97,26.57,,,,
201,1,LAB01,001,1,,3,0,12868.543,5639,5639,6980,5639,03/15/2024 13:32:35,03/15/2024 10:00:00,2950.2830,-1750.0,3392.983,2741.031,11790.188,9723.028,2,0,0,0,0,0,45.0,0,25.17,26.09,,,,
201,1,LAB01,001,1,,3,0,12981.317,5751,5751,6980,5751,03/15/2024 13:34:28,03/15/2024 10:00:00,2926.6587,-1750.0,3392.983,2795.852,11790.188,9883.469,30,0,0,0,0,0,45.0,0,25.20,26.62,,,,
201,1,LAB01,001,1,,3,0,13094.091,5864,5864,6980,5864,03/15/2024 13:36:21,03/15/2024 10:00:00,2902.9144,-1750.0,3392.983,2850.673,11790.188,10042.608,2,0,0,0,0,0,45.0,0,25.23,26.26,,,,
201,1,LAB01,001,1,,3,0,13206.865,5977,5977,6980,5977,03/15/2024 13:38:14,03/15/2024 10:00:00,2877.3024,-1750.0,3392.983,2905.493,11790.188,10200.344,2,0,0,0,0,0,45.0,0,24.85,25.86,,,,
201,1,LAB01,001,1,,3,0,13319.639,6090,6090,6980,6090,03/15/2024 13:40:06,03/15/2024 10:00:00,2851.3491,-1750.0,3392.983,2960.314,11790.188,10356.657,2,0,0,0,0,0,45.0,0,25.13,25.76,,,,
201,1,LAB01,001,1,,3,0,13432.413,6203,6203,6980,6203,03/15/2024 13:41:59,03/15/2024 10:00:00,2826.5288,-1750.0,3392.983,3015.135,11790.188,10511.609,2,0,0,0,0,0,45.0,0,24.93,25.54,,,,
201,1,LAB01,001,1,,3,0,13545.187,6315,6315,6980,6315,03/15/2024 13:43:52,03/15/2024 10:00:00,2801.3417,-1750.0,3392.983,3069.955,11790.188,10665.180,2,0,0,0,0,0,45.0,0,24.99,25.69,,,,
201,1,LAB01,001,1,,3,0,13657.960,6428,6428,6980,6428,03/15/2024 13:45:45,03/15/2024 10:00:00,2775.6308,-1750.0,3392.983,3124.776,11790.188,10817.342,2,0,0,0,0,0,45.0,0,24.97,25.12,,,,
201,1,LAB01,001,1,,3,0,13770.734,6541,6541,6980,6541,03/15/2024 13:47:37,03/15/2024 10:00:00,2750.3980,-1750.0,3392.983,3179.596,11790.188,10968.121,2,0,0,0,0,0,45.0,0,24.92,25.38,,,,
201,1,LAB01,001,1,,3,0,13883.508,6654,6654,6980,6654,03/15/2024 13:49:30,03/15/2024 10:00:00,2725.9055,-1750.0,3392.983,3234.417,11790.188,11117.556,2,0,0,0,0,0,45.0,0,24.96,25.21,,,,
201,1,LAB01,001,1,,3,0,13996.282,6766,6766,6980,6766,03/15/2024 13:51:23,03/15/2024 10:00:00,2700.7371,-1750.0,3392.983,3289.238,11790.188,11265.612,2,0,0,0,0,0,45.0,0,24.87,24.83,,,,
201,1,LAB01,001,1,,4,1,14016.282,0,0,0,0,03/15/2024 13:53:16,03/15/2024 10:00:00,2901.0137,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,45.2,0,24.93,24.93,,,,
201,1,LAB01,001,1,,4,1,14036.282,0,20,0,0,03/15/2024 13:53:36,03/15/2024 10:00:00,2901.5482,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.2,0,25.07,25.07,,,,
201,1,LAB01,001,1,,4,1,14056.282,0,40,0,0,03/15/2024 13:53:56,03/15/2024 10:00:00,2898.9490,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.2,0,25.14,25.14,,,,
201,1,LAB01,001,1,,4,1,14076.282,0,60,0,0,03/15/2024 13:54:16,03/15/2024 10:00:00,2898.4643,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,45.2,0,25.11,25.11,,,,
201,1,LAB01,001,1,,4,1,14096.282,0,80,0,0,03/15/2024 13:54:36,03/15/2024 10:00:00,2902.4422,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,45.2,0,24.96,24.96,,,,
201,1,LAB01,001,1,,5,1,14209.963,114,114,114,0,03/15/2024 13:54:56,03/15/2024 10:00:00,2774.6429,1750.0,55.261,0.000,153.331,0.000,30,0,0,0,0,0,45.2,0,25.00,24.83,,,,
201,1,LAB01,001,1,,5,1,14323.643,227,227,227,0,03/15/2024 13:56:49,03/15/2024 10:00:00,2797.3713,1750.0,110.523,0.000,307.918,0.000,2,0,0,0,0,0,45.2,0,24.94,24.94,,,,
201,1,LAB01,001,1,,5,1,14437.324,341,341,341,0,03/15/2024 13:58:43,03/15/2024 10:00:00,2819.3830,1750.0,165.784,0.000,463.721,0.000,2,0,0,0,0,0,45.2,0,25.02,24.98,,,,
201,1,LAB01,001,1,,5,1,14551.005,455,455,455,0,03/15/2024 14:00:37,03/15/2024 10:00:00,2843.2122,1750.0,221.046,0.000,620.841,0.000,2,0,0,0,0,0,45.2,0,25.02,25.34,,,,
201,1,LAB01,001,1,,5,1,14664.685,568,568,568,0,03/15/2024 14:02:31,03/15/2024 10:00:00,2866.8177,1750.0,276.307,0.000,779.265,0.000,2,0,0,0,0,0,45.2,0,25.06,25.51,,,,
201,1,LAB01,001,1,,5,1,14778.366,682,682,682,0,03/15/2024 14:04:24,03/15/2024 10:00:00,2888.5591,1750.0,331.569,0.000,938.891,0.000,2,0,0,0,0,0,45.2,0,25.07,25.51,,,,
201,1,LAB01,001,1,,5,1,14892.047,796,796,796,0,03/15/2024 14:06:18,03/15/2024 10:00:00,2911.9786,1750.0,386.830,0.000,1099.811,0.000,2,0,0,0,0,0,45.2,0,24.94,25.74,,,,
201,1,LAB01,001,1,,5,1,15005.728,909,909,909,0,03/15/2024 14:08:12,03/15/2024 10:00:00,2935.6057,1750.0,442.092,0.000,1262.037,0.000,2,0,0,0,0,0,45.2,0,25.00,26.09,,,,
201,1,LAB01,001,1,,5,1,15119.408,1023,1023,1023,0,03/15/2024 14:10:05,03/15/2024 10:00:00,2958.8538,1750.0,497.353,0.000,1425.548,0.000,2,0,0,0,0,0,45.2,0,24.97,25.83,,,,
201,1,LAB01,001,1,,5,1,15233.089,1137,1137,1137,0,03/15/2024 14:11:59,03/15/2024 10:00:00,2982.5259,1750.0,552.614,0.000,1590.366,0.000,2,0,0,0,0,0,45.2,0,25.05,26.43,,,,
201,1,LAB01,001,1,,5,1,15346.770,1250,1250,1250,0,03/15/2024 14:13:53,03/15/2024 10:00:00,3004.6701,1750.0,607.876,0.000,1756.409,0.000,30,0,0,0,0,0,45.2,0,25.00,26.27,,,,
201,1,LAB01,001,1,,5,1,15460.450,1364,1364,1364,0,03/15/2024 14:15:46,03/15/2024 10:00:00,3028.5600,1750.0,663.137,0.000,1923.771,0.000,2,0,0,0,0,0,45.2,0,25.00,26.14,,,,
201,1,LAB01,001,1,,5,1,15574.131,1478,1478,1478,0,03/15/2024 14:17:40,03/15/2024 10:00:00,3052.6947,1750.0,718.399,0.000,2092.468,0.000,2,0,0,0,0,0,45.2,0,25.07,26.74,,,,
201,1,LAB01,001,1,,5,1,15687.812,1592,1592,1592,0,03/15/2024 14:19:34,03/15/2024 10:00:00,3077.2815,1750.0,773.660,0.000,2262.523,0.000,2,0,0,0,0,0,45.2,0,24.97,26.57,,,,
201,1,LAB01,001,1,,5,1,15801.492,1705,1705,1705,0,03/15/2024 14:21:27,03/15/2024 10:00:00,3098.9793,1750.0,828.922,0.000,2433.777,0.000,2,0,0,0,0,0,45.2,0,25.19,26.64,,,,
201,1,LAB01,001,1,,5,1,15915.173,1819,1819,1819,0,03/15/2024 14:23:21,03/15/2024 10:00:00,3122.8922,1750.0,884.183,0.000,2606.352,0.000,2,0,0,0,0,0,45.2,0,24.85,26.27,,,,
201,1,LAB01,001,1,,5,1,16028.854,1933,1933,1933,0,03/15/2024 14:25:15,03/15/2024 10:00:00,3144.4615,1750.0,939.445,0.000,2780.120,0.000,2,0,0,0,0,0,45.2,0,24.86,26.91,,,,
201,1,LAB01,001,1,,5,1,16142.534,2046,2046,2046,0,03/15/2024 14:27:08,03/15/2024 10:00:00,3169.0007,1750.0,994.706,0.000,2955.244,0.000,2,0,0,0,0,0,45.2,0,24.98,26.78,,,,
201,1,LAB01,001,1,,5,1,16256.215,2160,2160,2160,0,03/15/2024 14:29:02,03/15/2024 10:00:00,3193.8438,1750.0,1049.968,0.000,3131.740,0.000,2,0,0,0,0,0,45.2,0,24.89,27.14,,,,
201,1,LAB01,001,1,,5,1,16369.896,2274,2274,2274,0,03/15/2024 14:30:56,03/15/2024 10:00:00,3216.2627,1750.0,1105.229,0.000,3309.475,0.000,2,0,0,0,0,0,45.2,0,24.92,27.07,,,,
201,1,LAB01,001,1,,5,1,16483.577,2387,2387,2387,0,03/15/2024 14:32:49,03/15/2024 10:00:00,3240.8216,1750.0,1160.490,0.000,3488.568,0.000,30,0,0,0,0,0,45.2,0,25.14,27.36,,,,
201,1,LAB01,001,1,,5,1,16597.257,2501,2501,2501,0,03/15/2024 14:34:43,03/15/2024 10:00:00,3263.6227,1750.0,1215.752,0.000,3668.920,0.000,2,0,0,0,0,0,45.2,0,24.94,27.12,,,,
201,1,LAB01,001,1,,5,1,16710.938,2615,2615,2615,0,03/15/2024 14:36:37,03/15/2024 10:00:00,3288.9987,1750.0,1271.013,0.000,3850.675,0.000,2,0,0,0,0,0,45.2,0,25.04,27.33,,,,
201,1,LAB01,001,1,,5,1,16824.619,2728,2728,2728,0,03/15/2024 14:38:30,03/15/2024 10:00:00,3312.9866,1750.0,1326.275,0.000,4033.756,0.000,2,0,0,0,0,0,45.2,0,24.95,27.29,,,,
201,1,LAB01,001,1,,5,1,16938.299,2842,2842,2842,0,03/15/2024 14:40:24,03/15/2024 10:00:00,3336.3502,1750.0,1381.536,0.000,4218.127,0.000,2,0,0,0,0,0,45.2,0,25.15,27.54,,,,
201,1,LAB01,001,1,,5,1,17051.980,2956,2956,2956,0,03/15/2024 14:42:18,03/15/2024 10:00:00,3359.8821,1750.0,1436.798,0.000,4403.799,0.000,2,0,0,0,0,0,45.2,0,24.90,27.44,,,,
201,1,LAB01,001,1,,5,1,17165.661,3069,3069,3069,0,03/15/2024 14:44:11,03/15/2024 10:00:00,3383.6924,1750.0,1492.059,0.000,4590.787,0.000,2,0,0,0,0,0,45.2,0,25.03,27.22,,,,
201,1,LAB01,001,1,,5,1,17279.341,3183,3183,3183,0,03/15/2024 14:46:05,03/15/2024 10:00:00,3409.0393,1750.0,1547.321,0.000,4779.175,0.000,2,0,0,0,0,0,45.2,0,24.87,27.24,,,,
201,1,LAB01,001,1,,5,1,17393.022,3297,3297,3297,0,03/15/2024 14:47:59,03/15/2024 10:00:00,3433.1363,1750.0,1602.582,0.000,4968.895,0.000,2,0,0,0,0,0,45.2,0,24.87,27.36,,,,
201,1,LAB01,001,1,,5,1,17506.703,3410,3410,3410,0,03/15/2024 14:49:53,03/15/2024 10:00:00,3456.4761,1750.0,1657.843,0.000,5159.905,0.000,2,0,0,0,0,0,45.2,0,24.90,27.61,,,,
201,1,LAB01,001,1,,5,1,17620.383,3524,3524,3524,0,03/15/2024 14:51:46,03/15/2024 10:00:00,3481.7855,1750.0,1713.105,0.000,5352.314,0.000,30,0,0,0,0,0,45.2,0,24.80,27.09,,,,
201,1,LAB01,001,1,,5,1,17734.064,3638,3638,3638,0,03/15/2024 14:53:40,03/15/2024 10:00:00,3505.4453,1750.0,1768.366,0.000,5546.030,0.000,2,0,0,0,0,0,45.2,0,24.87,27.31,,,,
201,1,LAB01,001,1,,5,1,17847.745,3751,3751,3751,0,03/15/2024 14:55:34,03/15/2024 10:00:00,3529.1571,1750.0,1823.628,0.000,5741.056,0.000,2,0,0,0,0,0,45.2,0,25.07,27.52,,,,
201,1,LAB01,001,1,,5,1,17961.426,3865,3865,3865,0,03/15/2024 14:57:27,03/15/2024 10:00:00,3553.4269,1750.0,1878.889,0.000,5937.424,0.000,2,0,0,0,0,0,45.2,0,24.92,27.58,,,,
201,1,LAB01,001,1,,5,1,18075.106,3979,3979,3979,0,03/15/2024 14:59:21,03/15/2024 10:00:00,3577.2942,1750.0,1934.151,0.000,6135.110,0.000,2,0,0,0,0,0,45.2,0,25.03,27.40,,,,
201,1,LAB01,001,1,,5,1,18188.787,4093,4093,4093,0,03/15/2024 15:01:15,03/15/2024 10:00:00,3602.1578,1750.0,1989.412,0.000,6334.170,0.000,2,0,0,0,0,0,45.2,0,24.98,27.36,,,,
201,1,LAB01,001,1,,5,1,18302.468,4206,4206,4206,0,03/15/2024 15:03:08,03/15/2024 10:00:00,3625.6866,1750.0,2044.674,0.000,6534.531,0.000,2,0,0,0,0,0,45.2,0,25.08,27.65,,,,
201,1,LAB01,001,1,,5,1,18416.148,4320,4320,4320,0,03/15/2024 15:05:02,03/15/2024 10:00:00,3651.1594,1750.0,2099.935,0.000,6736.300,0.000,2,0,0,0,0,0,45.2,0,25.07,27.51,,,,
201,1,LAB01,001,1,,5,1,18529.829,4434,4434,4434,0,03/15/2024 15:06:56,03/15/2024 10:00:00,3676.2171,1750.0,2155.196,0.000,6939.453,0.000,2,0,0,0,0,0,45.2,0,25.03,27.32,,,,
201,1,LAB01,001,1,,5,1,18643.510,4547,4547,4547,0,03/15/2024 15:08:49,03/15/2024 10:00:00,3700.7182,1750.0,2210.458,0.000,7143.960,0.000,2,0,0,0,0,0,45.2,0,25.01,27.06,,,,
201,1,LAB01,001,1,,5,1,18757.190,4661,4661,4661,0,03/15/2024 15:10:43,03/15/2024 10:00:00,3724.6409,1750.0,2265.719,0.000,7349.789,0.000,30,0,0,0,0,0,45.2,0,24.81,26.94,,,,
201,1,LAB01,001,1,,5,1,18870.871,4775,4775,4775,0,03/15/2024 15:12:37,03/15/2024 10:00:00,3749.5899,1750.0,2320.981,0.000,7556.996,0.000,2,0,0,0,0,0,45.2,0,25.12,27.20,,,,
201,1,LAB01,001,1,,5,1,18984.552,4888,4888,4888,0,03/15/2024 15:14:30,03/15/2024 10:00:00,3774.6815,1750.0,2376.242,0.000,7765.591,0.000,2,0,0,0,0,0,45.2,0,25.00,26.82,,,,
201,1,LAB01,001,1,,5,1,19098.232,5002,5002,5002,0,03/15/2024 15:16:24,03/15/2024 10:00:00,3797.5322,1750.0,2431.504,0.000,7975.448,0.000,2,0,0,0,0,0,45.2,0,24.90,26.59,,,,
201,1,LAB01,001,1,,5,1,19211.913,5116,5116,5116,0,03/15/2024 15:18:18,03/15/2024 10:00:00,3823.9332,1750.0,2486.765,0.000,8186.764,0.000,2,0,0,0,0,0,45.2,0,24.98,26.87,,,,
201,1,LAB01,001,1,,5,1,19325.594,5229,5229,5229,0,03/15/2024 15:20:11,03/15/2024 10:00:00,3848.2923,1750.0,2542.027,0.000,8399.426,0.000,2,0,0,0,0,0,45.2,0,25.10,26.97,,,,
201,1,LAB01,001,1,,5,1,19439.275,5343,5343,5343,0,03/15/2024 15:22:05,03/15/2024 10:00:00,3872.5672,1750.0,2597.288,0.000,8613.430,0.000,2,0,0,0,0,0,45.2,0,24.97,26.50,,,,
201,1,LAB01,001,1,,5,1,19552.955,5457,5457,5457,0,03/15/2024 15:23:59,03/15/2024 10:00:00,3896.6788,1750.0,2652.549,0.000,8828.766,0.000,2,0,0,0,0,0,45.2,0,25.07,26.75,,,,
201,1,LAB01,001,1,,5,1,19666.636,5570,5570,5570,0,03/15/2024 15:25:52,03/15/2024 10:00:00,3922.9056,1750.0,2707.811,0.000,9045.551,0.000,2,0,0,0,0,0,45.2,0,24.95,26.51,,,,
201,1,LAB01,001,1,,5,1,19780.317,5684,5684,5684,0,03/15/2024 15:27:46,03/15/2024 10:00:00,3946.0121,1750.0,2763.072,0.000,9263.614,0.000,2,0,0,0,0,0,45.2,0,25.02,26.32,,,,
201,1,LAB01,001,1,,5,1,19893.997,5798,5798,5798,0,03/15/2024 15:29:40,03/15/2024 10:00:00,3972.4513,1750.0,2818.334,0.000,9483.137,0.000,30,0,0,0,0,0,45.2,0,25.14,26.45,,,,
201,1,LAB01,001,1,,5,1,20007.678,5911,5911,5911,0,03/15/2024 15:31:33,03/15/2024 10:00:00,3997.7615,1750.0,2873.595,0.000,9704.059,0.000,2,0,0,0,0,0,45.2,0,24.99,25.98,,,,
201,1,LAB01,001,1,,5,1,20121.359,6025,6025,6025,0,03/15/2024 15:33:27,03/15/2024 10:00:00,4022.6656,1750.0,2928.857,0.000,9926.358,0.000,2,0,0,0,0,0,45.2,0,24.87,26.00,,,,
201,1,LAB01,001,1,,5,1,20235.039,6139,6139,6139,0,03/15/2024 15:35:21,03/15/2024 10:00:00,4049.0452,1750.0,2984.118,0.000,10150.114,0.000,2,0,0,0,0,0,45.2,0,25.08,25.71,,,,
201,1,LAB01,001,1,,5,1,20348.720,6252,6252,6252,0,03/15/2024 15:37:15,03/15/2024 10:00:00,4075.0774,1750.0,3039.380,0.000,10375.308,0.000,2,0,0,0,0,0,45.2,0,25.20,25.89,,,,
201,1,LAB01,001,1,,5,1,20462.401,6366,6366,6366,0,03/15/2024 15:39:08,03/15/2024 10:00:00,4097.9218,1750.0,3094.641,0.000,10601.765,0.000,2,0,0,0,0,0,45.2,0,24.91,25.51,,,,
201,1,LAB01,001,1,,5,1,20576.081,6480,6480,6480,0,03/15/2024 15:41:02,03/15/2024 10:00:00,4123.1897,1750.0,3149.903,0.000,10829.619,0.000,2,0,0,0,0,0,45.2,0,25.00,25.57,,,,
201,1,LAB01,001,1,,5,1,20689.762,6593,6593,6593,0,03/15/2024 15:42:56,03/15/2024 10:00:00,4148.0321,1750.0,3205.164,0.000,11058.845,0.000,2,0,0,0,0,0,45.2,0,25.20,25.71,,,,
201,1,LAB01,001,1,,5,1,20803.443,6707,6707,6707,0,03/15/2024 15:44:49,03/15/2024 10:00:00,4173.6079,1750.0,3260.425,0.000,11289.485,0.000,2,0,0,0,0,0,45.2,0,24.86,24.96,,,,
201,1,LAB01,001,1,,5,1,20917.124,6821,6821,6821,0,03/15/2024 15:46:43,03/15/2024 10:00:00,4199.1751,1750.0,3315.687,0.000,11521.537,0.000,2,0,0,0,0,0,45.2,0,24.97,24.60,,,,
201,1,LAB01,001,1,,6,1,20947.124,0,0,6821,0,03/15/2024 15:48:37,03/15/2024 10:00:00,4193.6057,0.0,3315.687,0.000,11521.537,0.000,30,0,0,0,0,0,45.2,0,24.98,24.98,,,,
201,1,LAB01,001,1,,6,1,20977.124,0,30,6821,0,03/15/2024 15:49:07,03/15/2024 10:00:00,4189.4539,0.0,3315.687,0.000,11521.537,0.000,2,0,0,0,0,0,45.2,0,24.89,24.89,,,,
201,1,LAB01,001,1,,6,1,21007.124,0,60,6821,0,03/15/2024 15:49:37,03/15/2024 10:00:00,4191.2765,0.0,3315.687,0.000,11521.537,0.000,2,0,0,0,0,0,45.2,0,24.85,24.85,,,,
201,1,LAB01,001,1,,6,1,21037.124,0,90,6821,0,03/15/2024 15:50:07,03/15/2024 10:00:00,4193.8815,0.0,3315.687,0.000,11521.537,0.000,30,0,0,0,0,0,45.2,0,24.98,24.98,,,,
201,1,LAB01,001,1,,6,1,21067.124,0,120,6821,0,03/15/2024 15:50:37,03/15/2024 10:00:00,4189.2556,0.0,3315.687,0.000,11521.537,0.000,2,0,0,0,0,0,45.2,0,25.02,25.02,,,,
201,1,LAB01,001,1,,7,1,21178.220,111,111,6821,111,03/15/2024 15:51:07,03/15/2024 10:00:00,4126.2027,-1750.0,3315.687,54.005,11521.537,222.837,30,0,0,0,0,0,45.2,0,24.95,24.76,,,,
201,1,LAB01,001,1,,7,1,21289.317,222,222,6821,222,03/15/2024 15:52:58,03/15/2024 10:00:00,4103.0755,-1750.0,3315.687,108.011,11521.537,444.425,2,0,0,0,0,0,45.2,0,24.98,25.15,,,,
201,1,LAB01,001,1,,7,1,21400.414,333,333,6821,333,03/15/2024 15:54:49,03/15/2024 10:00:00,4080.1632,-1750.0,3315.687,162.016,11521.537,664.776,2,0,0,0,0,0,45.2,0,24.95,25.29,,,,
201,1,LAB01,001,1,,7,1,21511.511,444,444,6821,444,03/15/2024 15:56:40,03/15/2024 10:00:00,4058.2391,-1750.0,3315.687,216.022,11521.537,883.943,2,0,0,0,0,0,45.2,0,24.89,25.56,,,,
201,1,LAB01,001,1,,7,1,21622.607,555,555,6821,555,03/15/2024 15:58:31,03/15/2024 10:00:00,4033.5982,-1750.0,3315.687,270.027,11521.537,1101.779,2,0,0,0,0,0,45.2,0,24.92,25.83,,,,
201,1,LAB01,001,1,,7,1,21733.704,667,667,6821,667,03/15/2024 16:00:22,03/15/2024 10:00:00,4010.8173,-1750.0,3315.687,324.032,11521.537,1318.385,2,0,0,0,0,0,45.2,0,25.14,25.93,,,,
201,1,LAB01,001,1,,7,1,21844.801,778,778,6821,778,03/15/2024 16:02:13,03/15/2024 10:00:00,3986.2071,-1750.0,3315.687,378.038,11521.537,1533.661,2,0,0,0,0,0,45.2,0,25.01,25.73,,,,
201,1,LAB01,001,1,,7,1,21955.898,889,889,6821,889,03/15/2024 16:04:04,03/15/2024 10:00:00,3963.2936,-1750.0,3315.687,432.043,11521.537,1747.700,2,0,0,0,0,0,45.2,0,24.82,25.76,,,,
201,1,LAB01,001,1,,7,1,22066.995,1000,1000,6821,1000,03/15/2024 16:05:55,03/15/2024 10:00:00,3941.6122,-1750.0,3315.687,486.048,11521.537,1960.569,2,0,0,0,0,0,45.2,0,25.04,26.04,,,,
201,1,LAB01,001,1,,7,1,22178.091,1111,1111,6821,1111,03/15/2024 16:07:46,03/15/2024 10:00:00,3917.2314,-1750.0,3315.687,540.054,11521.537,2172.120,2,0,0,0,0,0,45.2,0,24.90,25.98,,,,
201,1,LAB01,001,1,,7,1,22289.188,1222,1222,6821,1222,03/15/2024 16:09:38,03/15/2024 10:00:00,3893.7314,-1750.0,3315.687,594.059,11521.537,2382.403,30,0,0,0,0,0,45.2,0,24.98,26.26,,,,
201,1,LAB01,001,1,,7,1,22400.285,1333,1333,6821,1333,03/15/2024 16:11:29,03/15/2024 10:00:00,3870.4860,-1750.0,3315.687,648.065,11521.537,2591.430,2,0,0,0,0,0,45.2,0,24.98,26.25,,,,
201,1,LAB01,001,1,,7,1,22511.382,1444,1444,6821,1444,03/15/2024 16:13:20,03/15/2024 10:00:00,3847.8015,-1750.0,3315.687,702.070,11521.537,2799.232,2,0,0,0,0,0,45.2,0,25.05,26.58,,,,
201,1,LAB01,001,1,,7,1,22622.479,1555,1555,6821,1555,03/15/2024 16:15:11,03/15/2024 10:00:00,3824.7424,-1750.0,3315.687,756.075,11521.537,3005.788,2,0,0,0,0,0,45.2,0,24.83,26.38,,,,
